headline,source,date,url,sentiment,sentiment_score
'Etched in history': PM Shehbaz says Pakistan cannot be 'intimidated or subdued' as nation marks Marka-i-Haq anniversary,Dawn,"Sat, 09 May 2026 22:07:11 +0500",https://www.dawn.com/news/1998951/etched-in-history-pm-shehbaz-says-pakistan-cannot-be-intimidated-or-subdued-as-nation-marks-marka-i-haq-anniversary,neutral,0.872
Marka-i-Haq a 'defining landmark in the nation’s journey': ISPR,Dawn,"Sat, 09 May 2026 22:23:50 +0500",https://www.dawn.com/news/1998954/marka-i-haq-a-defining-landmark-in-the-nations-journey-ispr,positive,0.674
Police foil suicide attack on Bannu post; at least 2 personnel martyred,Dawn,"Sun, 10 May 2026 00:25:15 +0500",https://www.dawn.com/news/1998957/police-foil-suicide-attack-on-bannu-post-at-least-2-personnel-martyred,negative,0.741
"Finmin says economic recovery remains intact amid regional conflict, assures uninterrupted fuel supply",Dawn,"Sun, 10 May 2026 00:13:26 +0500",https://www.dawn.com/news/1998966/finmin-says-economic-recovery-remains-intact-amid-regional-conflict-assures-uninterrupted-fuel-supply,neutral,0.512
"Pakistan expands US lobbying push with focus on defence, critical minerals and policy influence",Dawn,"Sat, 09 May 2026 23:46:22 +0500",https://www.dawn.com/news/1998958/pakistan-expands-us-lobbying-push-with-focus-on-defence-critical-minerals-and-policy-influence,neutral,0.698
GHQ to host ceremony marking one year since Marka-i-Haq victory on Sunday,Dawn,"Sat, 09 May 2026 19:06:48 +0500",https://www.dawn.com/news/1998901/ghq-to-host-ceremony-marking-one-year-since-marka-i-haq-victory-on-sunday,neutral,0.824
"Sindh govt issues Aurat March NOC with conditions for participants' clothing, slogans",Dawn,"Sat, 09 May 2026 18:18:00 +0500",https://www.dawn.com/news/1998890/sindh-govt-issues-aurat-march-noc-with-conditions-for-participants-clothing-slogans,neutral,0.907
"PTI demands judicial commission to identify, punish culprits behind May 9 riots",Dawn,"Sat, 09 May 2026 22:05:56 +0500",https://www.dawn.com/news/1998950/pti-demands-judicial-commission-to-identify-punish-culprits-behind-may-9-riots,neutral,0.503
Abbas takes five wickets to put Pakistan ahead in Bangladesh Test,Dawn,"Sat, 09 May 2026 19:22:50 +0500",https://www.dawn.com/news/1998944/abbas-takes-five-wickets-to-put-pakistan-ahead-in-bangladesh-test,neutral,0.803
European states to send planes to evacuate citizens from hantavirus-hit cruise ship,Dawn,"Sat, 09 May 2026 17:57:52 +0500",https://www.dawn.com/news/1998907/european-states-to-send-planes-to-evacuate-citizens-from-hantavirus-hit-cruise-ship,neutral,0.798
Israel to release Gaza flotilla activists today ahead of deportation: rights group,Dawn,"Sat, 09 May 2026 17:33:15 +0500",https://www.dawn.com/news/1998934/israel-to-release-gaza-flotilla-activists-today-ahead-of-deportation-rights-group,neutral,0.881
